"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2015","3,0140","3,1951","3,1951","2,8816","","-5,66%"
"01.03.2015","3,1947","2,8390","3,3163","2,8390","","12,57%"
"01.02.2015","2,8380","2,6824","2,9207","2,6658","","5,84%"
"01.01.2015","2,6814","2,6575","2,7310","2,5494","","0,92%"
"01.12.2014","2,6570","2,5659","2,7607","2,5436","","3,58%"
"01.11.2014","2,5651","2,4783","2,6295","2,4536","","3,52%"
"01.10.2014","2,4779","2,4444","2,5603","2,3561","","1,35%"
"01.09.2014","2,4449","2,2362","2,4785","2,2253","","9,37%"
"01.08.2014","2,2355","2,2635","2,3077","2,2329","","-1,23%"
"01.07.2014","2,2634","2,2146","2,2750","2,1988","","2,25%"
"01.06.2014","2,2137","2,2415","2,2918","2,1869","","-1,19%"
"01.05.2014","2,2403","2,2338","2,2494","2,1995","","0,37%"
"01.04.2014","2,2320","2,2721","2,2889","2,1814","","-1,73%"
"01.03.2014","2,2714","2,3384","2,3765","2,2478","","-2,85%"
"01.02.2014","2,3381","2,4127","2,4406","2,3182","","-3,07%"
"01.01.2014","2,4122","2,3781","2,4508","2,3276","","2,13%"
"01.12.2013","2,3618","2,3363","2,3960","2,3044","","1,13%"
"01.11.2013","2,3355","2,2350","2,3489","2,2350","","4,31%"
"01.10.2013","2,2390","2,2163","2,2413","2,1467","","1,06%"
"01.09.2013","2,2156","2,3826","2,4042","2,1793","","-7,14%"
"01.08.2013","2,3859","2,2764","2,4553","2,2627","","4,81%"
"01.07.2013","2,2764","2,2290","2,3031","2,2067","","2,01%"
"01.06.2013","2,2315","2,1439","2,2777","2,0840","","4,19%"
"01.05.2013","2,1418","2,0015","2,1512","1,9945","","7,04%"
"01.04.2013","2,0010","2,0186","2,0300","1,9633","","-1,11%"
"01.03.2013","2,0235","1,9760","2,0275","1,9414","","2,22%"
"01.02.2013","1,9795","1,9908","1,9974","1,9493","","-0,54%"
"01.01.2013","1,9902","2,0333","2,0508","1,9813","","-2,85%"
"01.12.2012","2,0485","2,1360","2,1392","2,0390","","-4,10%"
"01.11.2012","2,1361","2,0317","2,1377","2,0303","","5,18%"
"01.10.2012","2,0309","2,0286","2,0439","2,0157","","0,26%"
"01.09.2012","2,0257","2,0297","2,0450","2,0060","","-0,18%"
"01.08.2012","2,0293","2,0571","2,0575","2,0060","","-1,33%"
"01.07.2012","2,0567","2,0056","2,0567","1,9779","","2,35%"
"01.06.2012","2,0095","2,0224","2,0991","2,0042","","-0,65%"
